# Pixel,Intensity
191,55328.0000
192,53685.0000
193,55390.0000
194,53382.0000
195,55223.0000
196,53242.0000
197,54958.0000
198,53643.0000
199,54953.0000
200,53553.0000
201,54457.0000
202,53655.0000
203,55191.0000
204,52978.0000
205,55300.0000
206,53420.0000
207,54923.0000
208,53177.0000
209,55087.0000
210,53148.0000
211,55090.0000
212,53539.0000
213,54798.0000
214,53459.0000
215,54170.0000
216,53465.0000
217,54829.0000
218,53195.0000
219,54887.0000
220,52807.0000
221,55236.0000
222,53112.0000
223,54697.0000
224,52845.0000
225,54909.0000
226,53260.0000
227,54476.0000
228,53964.0000
229,54490.0000
230,53018.0000
231,54460.0000
232,53220.0000
233,54612.0000
234,52911.0000
235,55013.0000
236,53058.0000
237,54658.0000
238,53268.0000
239,54473.0000
240,53062.0000
241,54857.0000
242,53373.0000
243,54400.0000
244,53048.0000
245,54453.0000
246,53514.0000
247,54118.0000
248,53026.0000
249,54650.0000
250,52814.0000
251,54937.0000
252,52649.0000
253,54663.0000
254,52757.0000
255,54397.0000
256,52736.0000
257,54490.0000
258,52641.0000
259,53994.0000
260,52550.0000
261,54140.0000
262,52503.0000
263,54650.0000
264,52919.0000
265,53917.0000
266,52582.0000
267,53983.0000
268,52725.0000
269,54061.0000
270,52680.0000
271,53787.0000
272,52695.0000
273,54396.0000
274,52460.0000
275,54374.0000
276,52363.0000
277,54119.0000
278,52320.0000
279,53868.0000
280,52355.0000
281,54273.0000
282,52119.0000
283,54470.0000
284,52494.0000
285,53823.0000
286,52312.0000
287,53697.0000
288,52695.0000
289,53867.0000
290,52183.0000
291,54268.0000
292,52224.0000
293,53781.0000
294,52185.0000
295,53859.0000
296,52180.0000
297,53778.0000
298,52216.0000
299,53728.0000
300,52189.0000
301,53532.0000
302,52163.0000
303,53734.0000
304,52404.0000
305,53846.0000
306,51884.0000
307,53555.0000
308,52285.0000
309,54172.0000
310,52119.0000
311,53676.0000
312,52345.0000
313,53820.0000
314,51688.0000
315,53613.0000
316,52046.0000
317,53628.0000
318,52154.0000
319,53620.0000
320,52244.0000
321,53691.0000
322,52168.0000
323,53431.0000
324,51512.0000
325,53068.0000
326,51735.0000
327,53862.0000
328,51601.0000
329,53392.0000
330,52128.0000
331,53119.0000
332,52035.0000
333,53462.0000
334,51782.0000
335,53044.0000
336,51551.0000
